Customer_ID;Country;Segment;Signup_Date
C00162;Romania;Small Business;13.09.2024
C00163;Italy;Small Business;20.08.2023
C00164;Germany;Consumer;19.11.2023
C00165;France;Consumer;19.08.2025
C00166;Romania;Consumer;23.06.2023
C00167;Romania;Consumer;23.12.2024
C00168;Romania;Consumer;16.07.2025
C00169;France;Corporate;24.07.2023
C00170;France;Consumer;27.03.2024
C00171;Romania;Consumer;05.01.2023
C00172;Spain;Corporate;27.01.2026
C00173;Romania;Consumer;16.06.2026
C00174;Italy;Small Business;23.07.2024
C00175;Romania;Consumer;07.11.2024
C00176;Romania;Consumer;21.06.2023
C00177;Italy;Consumer;22.01.2026
C00178;Romania;Consumer;06.09.2025
C00179;Romania;Small Business;27.05.2023
C00180;Romania;Consumer;06.11.2024
C00181;Romania;Consumer;08.08.2023
C00182;United Kingdom;Consumer;27.01.2025
C00183;Italy;Consumer;18.04.2025
C00184;Italy;Consumer;06.05.2024
C00185;Romania;Small Business;17.07.2024
C00186;Germany;Consumer;25.06.2025
C00187;Romania;Consumer;18.07.2023
C00188;Romania;Consumer;15.02.2023
C00189;Romania;Consumer;15.06.2024
C00190;Spain;Consumer;18.09.2024
C00191;Italy;Small Business;01.01.2024
C00192;France;Small Business;29.06.2024
C00193;Germany;Small Business;11.05.2023
C00194;Germany;Consumer;10.08.2025
C00195;Germany;Consumer;04.09.2025
C00196;Germany;Small Business;06.12.2023
C00197;Romania;Consumer;11.04.2025
C00198;Romania;Consumer;26.10.2023
C00199;Romania;Corporate;19.05.2024
C00200;Spain;Consumer;13.02.2024
C00201;Germany;Small Business;23.05.2026
C00202;Spain;Consumer;05.09.2024
C00203;Romania;Consumer;18.03.2025
C00204;Germany;Consumer;25.09.2023
C00205;Romania;Consumer;29.03.2026
C00206;Romania;Consumer;23.05.2025
C00207;Romania;Small Business;15.05.2023
C00208;Romania;Small Business;28.02.2024
C00209;Spain;Consumer;07.10.2024
C00210;Romania;Consumer;18.10.2025
C00211;Germany;Consumer;12.12.2024
C00212;Romania;Consumer;11.12.2024
C00213;Romania;Small Business;25.04.2024
C00214;Germany;Consumer;13.12.2025
C00215;Romania;Corporate;13.06.2025
C00216;Netherlands;Consumer;19.06.2025
C00217;France;Consumer;17.04.2025
C00218;France;Small Business;28.04.2025
C00219;Romania;Consumer;23.08.2025
C00220;Romania;Consumer;26.10.2023
C00221;Spain;Consumer;29.10.2024
C00222;Romania;Small Business;17.06.2023
C00223;Romania;Consumer;13.04.2024
C00224;Romania;Consumer;07.01.2024
C00225;France;Consumer;14.09.2023
C00226;United Kingdom;Consumer;29.11.2024
C00227;France;Corporate;11.07.2024
C00228;France;Consumer;02.08.2024
C00229;Romania;Consumer;18.01.2026
C00230;Spain;Consumer;06.04.2024
C00231;Romania;Consumer;04.06.2023
C00232;United Kingdom;Corporate;06.10.2025
C00233;Romania;Consumer;02.10.2023
C00234;Netherlands;Small Business;27.05.2026
C00235;Romania;Consumer;28.04.2025
C00236;Romania;Small Business;23.11.2023
C00237;Romania;Consumer;03.01.2025
C00238;Romania;Consumer;04.04.2026
C00239;Romania;Consumer;15.03.2026
C00240;United Kingdom;Consumer;21.05.2024
C00241;Romania;Corporate;07.02.2023
C00242;Spain;Small Business;12.04.2023
C00243;Romania;Consumer;25.01.2026
C00244;United Kingdom;Consumer;23.04.2025
C00245;Romania;Small Business;14.07.2025
C00246;United Kingdom;Consumer;09.07.2025
C00247;Germany;Consumer;16.09.2025
C00248;Romania;Small Business;11.10.2024
C00249;Spain;Consumer;28.04.2024
C00250;Romania;Consumer;28.10.2023
C00251;Romania;Consumer;28.01.2024
C00252;United Kingdom;Consumer;15.08.2025
C00253;Italy;Small Business;19.01.2023
C00254;Romania;Small Business;05.07.2023
C00255;Romania;Corporate;01.10.2025
C00256;Italy;Consumer;07.04.2025
C00257;France;Small Business;26.07.2023
C00258;Netherlands;Corporate;16.02.2023
C00259;Germany;Consumer;16.10.2023
C00260;United Kingdom;Corporate;01.06.2023
C00261;Romania;Corporate;19.12.2023
C00262;Spain;Small Business;28.11.2025
C00263;Romania;Corporate;14.01.2026
C00264;France;Consumer;01.01.2024
C00265;Romania;Consumer;03.01.2024
C00266;Germany;Corporate;20.11.2025
C00267;United Kingdom;Small Business;27.06.2024
C00268;Germany;Consumer;30.09.2023
C00269;Spain;Consumer;11.08.2025
C00270;Romania;Consumer;18.09.2024
C00271;United Kingdom;Small Business;12.02.2026
C00272;Romania;Consumer;24.01.2026
C00273;Romania;Consumer;06.10.2025
C00274;Romania;Consumer;25.05.2026
C00275;Romania;Consumer;14.11.2024
C00276;Romania;Corporate;29.11.2024
C00277;United Kingdom;Consumer;03.01.2023
C00278;United Kingdom;Consumer;03.08.2023
C00279;United Kingdom;Consumer;21.07.2023
C00280;Romania;Small Business;21.03.2026
C00281;Romania;Consumer;20.11.2023
C00282;Romania;Consumer;04.03.2025
C00283;France;Consumer;11.06.2024
C00284;Italy;Corporate;03.09.2025
C00285;Romania;Small Business;07.04.2024
C00286;United Kingdom;Small Business;11.04.2026
C00287;Romania;Consumer;18.10.2024
C00288;Romania;Corporate;08.11.2023
C00289;Romania;Small Business;09.06.2024
C00290;Romania;Consumer;10.04.2024
C00291;United Kingdom;Corporate;15.07.2025
C00292;Spain;Small Business;18.02.2024
C00293;Romania;Small Business;08.03.2023
C00294;Germany;Small Business;27.09.2025
C00295;United Kingdom;Consumer;23.06.2026
C00296;Spain;Consumer;17.11.2023
C00297;United Kingdom;Consumer;11.12.2025
C00298;Romania;Consumer;20.02.2023
C00299;United Kingdom;Consumer;03.03.2024
C00300;Romania;Consumer;15.01.2023
C00301;Netherlands;Corporate;21.05.2024
C00302;Romania;Consumer;16.02.2025
C00303;United Kingdom;Small Business;14.05.2026
C00304;Romania;Consumer;08.12.2025
C00305;Romania;Consumer;09.04.2026
C00306;;Consumer;12.04.2025
C00307;United Kingdom;Consumer;16.05.2024
C00308;Romania;Consumer;02.03.2026
C00309;Spain;Consumer;18.03.2023
C00310;Italy;Small Business;05.11.2025
C00311;Romania;Consumer;14.06.2026
C00312;Germany;Consumer;29.01.2023
C00313;Germany;Consumer;14.04.2025
C00314;United Kingdom;Consumer;22.01.2026
C00315;Romania;Consumer;03.06.2025
C00316;Romania;Consumer;30.05.2026
C00317;Spain;Small Business;25.03.2025
C00318;Spain;Small Business;10.11.2025
C00319;Italy;Small Business;30.03.2023
C00320;Netherlands;Small Business;12.12.2024
C00321;France;Consumer;10.05.2026
C00322;France;Consumer;23.08.2024
C00323;France;Consumer;07.11.2025
C00324;Germany;Consumer;03.08.2025
C00325;Romania;Consumer;11.12.2023
C00326;Romania;Consumer;19.04.2024
C00327;United Kingdom;Corporate;18.09.2024
C00328;Romania;Consumer;01.07.2024
C00329;Romania;Consumer;29.01.2025
C00330;Germany;Corporate;12.04.2025
C00331;Romania;Consumer;11.06.2024
C00332;Romania;Consumer;27.03.2025
C00333;France;Consumer;21.04.2025
C00334;Italy;Consumer;24.05.2026
C00335;Romania;Corporate;07.11.2025
C00336;Romania;Small Business;19.12.2024
C00337;Romania;Consumer;14.08.2023
C00338;France;Consumer;14.02.2024
C00339;Italy;Consumer;27.02.2024
C00340;Romania;Consumer;02.01.2024
C00341;France;Consumer;22.04.2026
C00342;Romania;Consumer;12.11.2024
C00343;Romania;Small Business;16.06.2026
C00344;Netherlands;Small Business;02.06.2023
C00345;Romania;Corporate;28.06.2025
C00346;Romania;Small Business;20.01.2025
C00347;Romania;Consumer;31.08.2025
C00348;United Kingdom;Small Business;12.05.2024
C00349;Spain;;24.10.2024
C00350;Netherlands;Consumer;25.03.2024
C00351;Romania;Consumer;08.06.2025
C00352;Romania;Consumer;03.09.2023
C00353;France;Corporate;22.04.2025
C00354;Romania;Corporate;24.09.2024
C00355;Italy;Small Business;14.10.2025
C00356;United Kingdom;Consumer;18.02.2023
C00357;Romania;Corporate;21.08.2023
C00358;Italy;Consumer;13.02.2025
C00359;Romania;Consumer;21.04.2024
C00360;Romania;Consumer;31.12.2023
C00361;Germany;Small Business;05.04.2026
C00362;Germany;Small Business;28.02.2026
C00363;United Kingdom;Consumer;28.04.2023
C00364;United Kingdom;Consumer;02.11.2024
C00365;Netherlands;Consumer;30.04.2025
C00366;Netherlands;Consumer;23.09.2025
C00367;Germany;Small Business;16.09.2023
C00368;Romania;Consumer;22.12.2025
C00369;United Kingdom;Consumer;16.04.2025
C00370;Netherlands;Consumer;26.01.2026
C00371;Romania;Small Business;18.05.2025
C00372;Romania;Small Business;15.01.2026
C00373;Romania;Consumer;07.02.2023
C00374;Romania;Consumer;15.10.2023
C00375;United Kingdom;Corporate;10.11.2024
C00376;Romania;Consumer;23.01.2024
C00377;France;Consumer;10.09.2023
C00378;Italy;Consumer;22.06.2025
C00379;Italy;Corporate;20.06.2026
C00380;Romania;Small Business;17.11.2024
C00381;Romania;Consumer;15.02.2025
C00382;France;Consumer;16.02.2025
C00383;France;Consumer;16.06.2024
C00384;Germany;Consumer;14.05.2025
C00385;Italy;Consumer;26.10.2025
C00386;Romania;Consumer;26.05.2023
C00387;Italy;Consumer;18.12.2023
C00388;Romania;Consumer;08.10.2025
C00389;Romania;Consumer;24.03.2025
C00390;Germany;Consumer;07.05.2025
C00391;Romania;Small Business;08.03.2025
C00392;Romania;Consumer;10.11.2024
C00393;Romania;Small Business;09.11.2025
C00394;Romania;Corporate;04.06.2025
C00395;France;Corporate;30.11.2025
C00396;Romania;Consumer;22.09.2023
C00397;United Kingdom;Consumer;24.06.2025
C00398;Italy;Consumer;31.03.2023
C00399;Romania;Consumer;28.07.2023
C00400;Romania;Consumer;13.05.2024
C00401;Italy;Consumer;29.06.2026
C00402;Italy;Consumer;18.04.2024
C00403;Germany;Small Business;01.07.2024
C00404;France;Consumer;06.09.2025
C00405;Romania;Corporate;15.10.2025
C00406;Romania;Small Business;06.05.2025
C00407;France;Consumer;08.02.2023
C00408;Romania;Consumer;17.01.2026
C00409;France;Consumer;29.11.2023
C00410;Germany;Corporate;05.10.2024
C00411;France;Small Business;22.07.2025
C00412;Romania;Small Business;04.01.2024
C00413;Romania;Small Business;24.05.2025
C00414;Romania;Consumer;05.10.2024
C00415;Romania;Corporate;19.07.2023
C00416;France;Corporate;02.10.2023
C00417;Romania;Small Business;31.08.2025
C00418;Romania;Consumer;19.03.2023
C00419;Romania;Consumer;02.05.2024
C00420;Romania;Consumer;29.09.2024
C00421;Italy;Consumer;04.05.2024
C00422;Romania;Consumer;11.06.2024
C00423;Netherlands;Small Business;25.05.2026
C00424;Romania;Corporate;11.02.2023
C00425;ROMANIA;Consumer;06.06.2026
C00426;Romania;Consumer;09.07.2025
C00427;Romania;Consumer;17.03.2026
C00428;Italy;Corporate;02.04.2025
C00429;Netherlands;Small Business;19.04.2026
C00430;Italy;Consumer;05.04.2023
C00431;Romania;Consumer;05.07.2025
C00432;Romania;Consumer;24.06.2025
C00433;United Kingdom;Consumer;03.04.2026
C00434;Romania;Consumer;16.04.2023
C00435;France;Consumer;10.10.2024
C00436;Germany;Consumer;22.10.2024
C00437;Germany;Consumer;01.05.2023
C00438;Italy;Consumer;04.03.2025
C00439;United Kingdom;Small Business;05.09.2024
C00440;Romania;Consumer;28.09.2024
C00441;Romania;Consumer;11.08.2025
C00442;Germany;Corporate;25.04.2025
C00443;Germany;Consumer;14.05.2026
C00444;Romania;Consumer;09.03.2024
C00445;Romania;Consumer;12.09.2024
C00446;France;Small Business;03.02.2024
C00447;Italy;Consumer;12.03.2024
C00448;Germany;Consumer;28.03.2026
C00449;Romania;Consumer;13.07.2023
C00450;Romania;Small Business;14.10.2024
C00451;Germany;Small Business;24.08.2024
C00452;Romania;Small Business;21.04.2023
C00453;Germany;Consumer;15.09.2023
C00454;United Kingdom;Consumer;14.12.2023
C00455;Romania;Consumer;23.08.2024
C00456;Romania;Consumer;15.06.2024
C00457;Romania;Consumer;26.01.2025
C00458;Italy;Consumer;25.04.2024
C00459;United Kingdom;Small Business;25.09.2025
C00460;Romania;Consumer;12.04.2024
C00461;Italy;Consumer;24.12.2025
C00462;Romania;Corporate;29.06.2026
C00463;Romania;Small Business;02.05.2025
C00464;Spain;Consumer;10.05.2023
C00465;Romania;Corporate;14.02.2026
C00466;Romania;Consumer;08.11.2025
C00467;Germany;Small Business;12.12.2024
C00468;Romania;Consumer;09.03.2024
C00469;United Kingdom;Consumer;25.06.2025
C00470;Romania;Corporate;24.02.2025
C00471;Romania;Consumer;03.04.2025
C00472;Romania;Small Business;18.11.2025
C00473;Romania;Consumer;19.05.2026
C00474;Romania;Consumer;17.08.2025
C00475;Romania;Corporate;10.02.2024
C00476;Italy;Consumer;25.02.2026
C00477;Romania;Small Business;20.11.2025
C00478;Romania;Small Business;26.08.2024
C00479;Romania;Consumer;18.03.2023
C00480;Romania;Consumer;01.05.2026
C00481;Romania;Consumer;20.11.2024
C00482;United Kingdom;Consumer;25.05.2024
C00483;Romania;Consumer;13.02.2025
C00484;Italy;Consumer;31.03.2023
C00485;Spain;Small Business;19.11.2025
C00486;Romania;Consumer;25.11.2023
C00487;Romania;Small Business;13.12.2024
C00488;Romania;Consumer;27.04.2025
C00489;United Kingdom;Consumer;19.01.2023
C00490;Romania;Consumer;11.01.2025
C00491;Italy;Consumer;20.07.2023
C00492;France;Consumer;02.05.2026
C00493;France;Consumer;17.09.2024
C00494;Germany;Small Business;07.03.2025
C00495;Netherlands;Small Business;19.07.2023
C00496;Romania;Consumer;31.07.2023
C00497;Romania;Small Business;08.05.2026
C00498;Romania;Corporate;03.01.2025
C00499;Spain;Consumer;17.10.2023
C00500;Germany;Corporate;26.04.2025
C00501;France;Consumer;13.02.2026
C00502;Romania;Small Business;01.09.2025
C00503;Netherlands;Consumer;25.05.2024
C00504;Germany;Small Business;22.04.2025
C00505;Germany;Small Business;16.02.2026
C00506;Netherlands;Corporate;16.11.2023
C00507;Romania;Corporate;05.10.2025
C00508;Romania;Consumer;26.06.2026
C00509;Germany;Small Business;16.03.2024
C00510;Romania;Consumer;07.02.2026
C00511;Romania;Consumer;29.01.2023
C00512;Romania;Consumer;21.04.2024
C00513;Romania;Corporate;19.12.2023
C00514;Italy;Small Business;07.02.2023
C00515;Germany;Consumer;08.02.2025
C00516;Romania;Corporate;05.11.2024
C00517;Romania;Small Business;28.04.2024
C00518;Romania;Consumer;08.01.2026
C00519;United Kingdom;Consumer;13.11.2023
C00520;Spain;Small Business;22.03.2025
C00521;Spain;Small Business;19.02.2026
C00522;Romania;Consumer;09.01.2023
C00523;Romania;Consumer;22.05.2026
C00524;Romania;Consumer;28.06.2025
C00525;Germany;Consumer;18.08.2025
C00526;Romania;Consumer;27.07.2023
C00527;United Kingdom;Consumer;14.02.2023
C00528;Germany;Consumer;16.02.2023
C00529;Romania;Consumer;15.06.2023
C00530;Romania;Consumer;13.07.2023
C00531;Romania;Consumer;19.05.2026
C00532;Romania;Consumer;14.09.2023
C00533;Romania;Corporate;24.10.2025
C00534;United Kingdom;Consumer;20.03.2023
C00535;Romania;Consumer;14.04.2025
C00536;Romania;Consumer;01.08.2024
C00537;Germany;Small Business;20.11.2024
C00538;France;Consumer;27.09.2025
C00539;Romania;Consumer;25.09.2023
C00540;Italy;Small Business;06.01.2023
C00541;Spain;Small Business;09.10.2023
C00542;Germany;Consumer;22.10.2025
C00543;United Kingdom;Consumer;24.01.2025
C00544;Romania;Corporate;26.03.2026
C00545;Spain;Corporate;30.11.2025
C00546;Romania;Small Business;13.07.2023
C00547;Spain;Small Business;15.03.2023
C00548;Germany;Small Business;28.01.2023
C00549;Romania;Corporate;30.08.2023
C00550;Romania;Consumer;03.09.2024
C00551;United Kingdom;Corporate;22.01.2023
C00552;Germany;Small Business;02.09.2024
C00553;Romania;Consumer;29.07.2025
C00554;France;Consumer;18.01.2026
C00555;Italy;Consumer;14.02.2023
C00556;Germany;Small Business;07.07.2024
C00557;Romania;Small Business;09.05.2025
C00558;Romania;Consumer;25.06.2026
C00559;France;Consumer;04.10.2023
C00560;ROMANIA;Consumer;12.12.2023
C00561;Italy;Consumer;17.10.2025
C00562;Romania;Consumer;13.04.2025
C00563;Germany;Consumer;15.11.2023
C00564;Romania;Consumer;22.09.2024
C00565;Romania;Consumer;31.03.2026
C00566;France;Consumer;20.09.2023
C00567;Germany;Consumer;25.02.2024
C00568;Germany;Corporate;24.02.2026
C00569;Netherlands;Small Business;08.05.2025
C00570;Netherlands;Small Business;12.10.2023
C00571;Italy;Consumer;02.01.2024
C00572;Romania;Consumer;08.12.2025
C00573;Germany;Small Business;24.12.2023
C00574;Italy;Consumer;14.06.2025
C00575;Romania;Consumer;24.09.2024
C00576;Romania;Consumer;09.10.2023
C00577;France;Small Business;14.04.2024
C00578;Germany;Consumer;26.06.2025
C00579;Germany;Consumer;20.10.2025
C00580;Netherlands;Consumer;03.02.2023
C00581;Germany;Consumer;01.03.2026
C00582;Romania;Consumer;29.10.2023
C00583;Romania;Small Business;07.04.2025
C00584;Romania;Corporate;31.12.2023
C00585;Romania;Consumer;08.12.2023
C00586;France;Consumer;08.02.2026
C00587;Italy;Consumer;13.06.2025
C00588;Romania;Consumer;14.03.2026
C00589;Romania;Small Business;27.01.2023
C00590;Italy;Small Business;12.12.2023
C00591;Romania;Consumer;04.03.2023
C00592;Germany;Small Business;28.08.2024
C00593;Romania;Consumer;12.08.2024
C00594;United Kingdom;Consumer;06.06.2026
C00595;Romania;Corporate;22.10.2023
C00596;United Kingdom;Consumer;29.04.2025
C00597;Romania;Consumer;22.06.2026
C00598;United Kingdom;Small Business;30.03.2023
C00599;Romania;Consumer;22.07.2024
C00600;Romania;Consumer;14.05.2024
C00601;Germany;Consumer;03.02.2023
C00602;Romania;Consumer;21.06.2024
C00603;Romania;Consumer;20.11.2023
C00604;Romania;Consumer;26.01.2024
C00605;Romania;Consumer;29.09.2023
C00606;Romania;Consumer;25.10.2024
C00607;Spain;Consumer;23.05.2024
C00608;Romania;Small Business;28.07.2025
C00609;France;Consumer;26.03.2024
C00610;Netherlands;Consumer;01.06.2025
C00611;Romania;Small Business;03.11.2024
C00612;United Kingdom;Consumer;24.03.2024
C00613;Italy;Consumer;16.11.2025
C00614;United Kingdom;Consumer;28.07.2025
C00615;Romania;Consumer;02.11.2024
C00616;Romania;Corporate;12.11.2024
C00617;Romania;Consumer;01.09.2025
C00618;Germany;Small Business;08.09.2025
C00619;Netherlands;Consumer;27.06.2025
C00620;Spain;Consumer;26.05.2023
C00621;Romania;Consumer;21.10.2023
C00622;United Kingdom;Consumer;31.05.2024
C00623;Romania;Consumer;04.01.2025
C00624;Spain;Small Business;18.05.2024
C00625;Romania;Consumer;23.11.2025
C00626;Spain;Small Business;24.03.2024
C00627;Italy;Corporate;25.11.2024
C00628;Romania;Consumer;09.06.2025
C00629;Romania;Corporate;26.04.2024
C00630;Italy;Consumer;11.12.2024
C00631;Romania;Consumer;16.07.2025
C00632;Germany;Consumer;07.05.2024
C00633;Spain;Consumer;23.05.2026
C00634;Germany;Consumer;15.11.2024
C00635;Romania;Consumer;30.09.2025
C00636;Romania;Small Business;17.06.2025
C00637;Romania;Consumer;05.11.2025
C00638;Netherlands;Small Business;11.05.2025
C00639;Romania;Consumer;18.11.2024
C00640;Romania;Consumer;28.08.2025
C00641;Romania;Consumer;18.08.2024
C00642;Netherlands;Consumer;22.12.2025
C00643;Romania;Consumer;02.10.2024
C00644;Italy;Small Business;01.08.2025
C00645;United Kingdom;Consumer;21.09.2023
C00646;Italy;Consumer;18.08.2023
C00647;Netherlands;Small Business;21.12.2024
C00648;Italy;Small Business;16.12.2025
C00649;Spain;Corporate;25.07.2025
C00650;Romania;Consumer;28.02.2024
C00651;France;Small Business;28.12.2025
C00652;Germany;Consumer;29.04.2025
C00653;Germany;Small Business;18.06.2026
C00654;Italy;Consumer;21.09.2025
C00655;Netherlands;Consumer;11.01.2024
C00656;United Kingdom;Corporate;24.03.2023
C00657;Germany;Small Business;11.12.2023
C00658;Romania;Consumer;14.08.2023
C00659;Romania;Consumer;21.08.2023
C00660;Romania;Small Business;28.10.2024
C00661;Romania;Consumer;09.06.2026
C00662;Romania;Consumer;08.04.2025
C00663;Romania;Consumer;28.06.2024
C00664;France;Consumer;13.11.2023
C00665;Romania;Consumer;27.09.2025
C00666;Spain;Small Business;01.12.2024
C00667;United Kingdom;Consumer;17.08.2024
C00668;Romania;Small Business;19.08.2023
C00669;Romania;Corporate;27.09.2024
C00670;Romania;Consumer;22.03.2023
C00671;Netherlands;Small Business;30.09.2023
C00672;Romania;Consumer;06.11.2025
C00673;Germany;Corporate;04.08.2023
C00674;Spain;Consumer;16.05.2023
C00675;Netherlands;Consumer;09.10.2023
C00676;Romania;Consumer;23.03.2026
C00677;Romania;Corporate;24.04.2026
C00678;Romania;Consumer;26.04.2025
C00679;Romania;Small Business;22.09.2025
C00680;Romania;Consumer;06.03.2026
C00681;Germany;Consumer;13.01.2024
C00682;Spain;Consumer;05.06.2024
C00683;Germany;Consumer;05.02.2023
C00684;United Kingdom;Consumer;01.11.2024
C00685;Romania;Consumer;05.02.2023
C00686;France;Small Business;17.08.2024
C00687;United Kingdom;Small Business;16.05.2026
C00688;Italy;Consumer;23.01.2025
C00689;Spain;Consumer;01.06.2024
C00690;Romania;Consumer;09.05.2023
