Return_ID;Order_ID;Return_Date;Returned_Quantity;Return_Reason
R000162;O0053458;10.05.2026;3;Damaged
R000163;O0041726;11.05.2025;3;Wrong Item
R000164;O0016224;14.06.2025;1;Damaged
R000165;O0004560;05.06.2025;1;Customer Changed Mind
R000166;O0035582;07.11.2025;2;Damaged
R000167;O0025794;19.08.2025;1;Damaged
R000168;O0030368;15.05.2026;3;Late Delivery
R000169;O0014840;29.01.2026;3;Customer Changed Mind
R000170;O0043849;11.09.2025;2;Damaged
R000171;O0059000;28.05.2025;2;Wrong Item
R000172;O0058721;03.07.2026;3;Late Delivery
R000173;O0021921;06.04.2025;3;Customer Changed Mind
R000174;O0007140;15.12.2025;3;Other
R000175;O0029370;12.01.2026;3;Late Delivery
R000176;O0026320;25.06.2026;1;Customer Changed Mind
R000177;O0009610;16.03.2025;2;Late Delivery
R000178;O0027747;30.06.2026;2;Customer Changed Mind
R000179;O0026629;27.02.2025;3;Other
R000180;O0023960;30.09.2025;3;Wrong Item
R000181;O0007598;13.01.2026;2;Customer Changed Mind
R000182;O0025734;28.07.2025;1;Wrong Item
R000183;O0042544;13.04.2026;2;Customer Changed Mind
R000184;O0056116;27.12.2025;1;Damaged
R000185;O0032938;10.10.2025;2;Customer Changed Mind
R000186;O0025884;26.04.2026;3;Wrong Item
R000187;O0014656;13.03.2025;3;Customer Changed Mind
R000188;O0016317;22.11.2025;2;Wrong Item
R000189;O0031769;06.02.2026;1;Other
R000190;O0057573;17.08.2025;2;Customer Changed Mind
R000191;O0017239;14.04.2025;1;Customer Changed Mind
R000192;O0059006;13.02.2026;1;Wrong Item
R000193;O0021081;30.03.2026;2;Wrong Item
R000194;O0042676;16.12.2025;1;Damaged
R000195;O0017505;01.04.2025;1;Customer Changed Mind
R000196;O0017249;27.10.2025;2;Customer Changed Mind
R000197;O0022101;25.11.2025;2;Other
R000198;O0050903;25.04.2025;1;Other
R000199;O0041678;29.06.2026;2;Late Delivery
R000200;O0025514;14.03.2025;3;Wrong Item
R000201;O0042950;16.04.2025;3;Damaged
R000202;O0021258;23.06.2026;2;Customer Changed Mind
R000203;O0025465;10.06.2025;1;Customer Changed Mind
R000204;O0004473;24.05.2026;3;Customer Changed Mind
R000205;O0054520;08.08.2025;1;Wrong Item
R000206;O0020968;25.06.2026;1;Wrong Item
R000207;O0021819;28.05.2025;1;Wrong Item
R000208;O0049616;28.09.2025;2;Customer Changed Mind
R000209;O0017652;12.10.2025;3;Late Delivery
R000210;O0031260;16.06.2025;2;Wrong Item
R000211;O0047444;11.07.2026;3;Other
R000212;O0030097;24.02.2026;3;Customer Changed Mind
R000213;O0038191;28.04.2026;1;Wrong Item
R000214;O0003723;17.07.2025;3;Damaged
R000215;O0058818;27.05.2026;1;Wrong Item
R000216;O0049280;10.01.2026;1;Late Delivery
R000217;O0002812;04.06.2026;2;Other
R000218;O0019906;05.11.2025;2;Customer Changed Mind
R000219;O0055398;25.08.2025;2;Customer Changed Mind
R000220;O0022353;25.06.2026;1;Customer Changed Mind
R000221;O0053316;02.04.2026;3;Customer Changed Mind
R000222;O0054407;22.03.2026;1;Customer Changed Mind
R000223;O0041190;02.07.2026;3;Wrong Item
R000224;O0021767;20.03.2026;3;Other
R000225;O0015004;20.09.2025;3;Customer Changed Mind
R000226;O0020533;24.04.2026;2;Wrong Item
R000227;O0054383;17.02.2026;1;Other
R000228;O0049177;04.04.2026;2;Customer Changed Mind
R000229;O0042892;23.05.2026;3;Damaged
R000230;O0047761;13.11.2025;2;Damaged
R000231;O0039106;25.02.2026;2;Wrong Item
R000232;O0027883;07.07.2025;2;Customer Changed Mind
R000233;O0014113;11.11.2025;1;Wrong Item
R000234;O0030664;18.08.2025;2;Other
R000235;O0022132;11.11.2025;3;Customer Changed Mind
R000236;O0036266;12.09.2025;1;Damaged
R000237;O0051589;13.06.2025;2;Damaged
R000238;O0003849;27.12.2025;1;Other
R000239;O0046968;10.04.2025;2;Damaged
R000240;O0050351;20.05.2025;1;Other
R000241;O0045742;14.07.2025;3;Damaged
R000242;O0030334;15.04.2025;2;Customer Changed Mind
R000243;O0005860;25.12.2025;3;Damaged
R000244;O0018483;19.02.2025;3;Other
R000245;O0043949;27.10.2025;1;Wrong Item
R000246;O0008339;18.05.2026;3;Wrong Item
R000247;O0048420;13.12.2025;3;Late Delivery
R000248;O0029521;13.07.2026;2;Customer Changed Mind
R000249;O0029726;26.08.2025;2;Customer Changed Mind
R000250;O0015603;24.05.2025;3;Other
R000251;O0010584;10.08.2025;2;Other
R000252;O0029072;25.03.2025;2;Wrong Item
R000253;O0006397;10.07.2026;1;Damaged
R000254;O0029779;16.04.2026;2;Damaged
R000255;O0003198;10.05.2026;1;Other
R000256;O0012489;15.02.2025;3;Late Delivery
R000257;O0046125;21.05.2026;2;Customer Changed Mind
R000258;O0013900;17.11.2025;1;Damaged
R000259;O0032435;24.08.2025;1;Late Delivery
R000260;O0018810;18.03.2026;1;Damaged
R000261;O0025820;25.12.2025;3;Damaged
R000262;O0054419;09.12.2025;2;Customer Changed Mind
R000263;O0024866;04.01.2026;3;Customer Changed Mind
R000264;O0008568;18.04.2026;1;Customer Changed Mind
R000265;O0028075;19.05.2026;3;Other
R000266;O0005954;24.04.2025;3;Wrong Item
R000267;O0027450;25.06.2026;1;Customer Changed Mind
R000268;O0053359;21.09.2025;2;Damaged
R000269;O0021905;07.03.2026;2;Damaged
R000270;O0022998;19.06.2026;1;Damaged
R000271;O0005176;13.06.2025;2;Customer Changed Mind
R000272;O0036912;29.04.2026;2;Damaged
R000273;O0058376;17.04.2025;2;Damaged
R000274;O0005994;11.08.2025;2;Wrong Item
R000275;O0043835;02.11.2025;3;Late Delivery
R000276;O0033212;01.02.2026;1;Customer Changed Mind
R000277;O0004441;03.02.2026;3;Late Delivery
R000278;O0055319;16.03.2026;2;Wrong Item
R000279;O0031534;29.04.2026;3;Late Delivery
R000280;O0010552;23.05.2026;3;Damaged
R000281;O0038760;11.06.2025;3;Damaged
R000282;O0030019;07.10.2025;1;Late Delivery
R000283;O0056373;04.04.2026;2;Damaged
R000284;O0016427;10.04.2025;1;Customer Changed Mind
R000285;O0007492;16.08.2025;1;Late Delivery
R000286;O0055880;26.08.2025;2;Wrong Item
R000287;O0048265;14.02.2026;2;Customer Changed Mind
R000288;O0034722;11.12.2025;3;Other
R000289;O0032340;11.06.2026;2;Wrong Item
R000290;O0006695;30.07.2025;3;Damaged
R000291;O0043419;19.03.2025;2;Customer Changed Mind
R000292;O0027718;07.05.2025;3;Damaged
R000293;O0021700;12.06.2026;1;Customer Changed Mind
R000294;O0036016;18.02.2026;2;Customer Changed Mind
R000295;O0038724;01.03.2025;2;Wrong Item
R000296;O0021563;21.12.2025;2;Customer Changed Mind
R000297;O0014971;09.04.2026;3;Customer Changed Mind
R000298;O0003951;21.12.2025;1;Customer Changed Mind
R000299;O0010598;22.02.2025;2;Damaged
R000300;O0053739;09.02.2025;3;Wrong Item
R000301;O0032900;02.10.2025;2;Other
R000302;O0055234;16.08.2025;3;Wrong Item
R000303;O0042432;23.02.2026;2;Late Delivery
R000304;O0041980;27.12.2025;2;Late Delivery
R000305;O0042750;02.08.2025;3;Late Delivery
R000306;O0059112;15.11.2025;1;Customer Changed Mind
R000307;O0037525;30.06.2025;3;Customer Changed Mind
R000308;O0059085;22.05.2026;1;Late Delivery
R000309;O0017320;22.07.2025;3;Late Delivery
R000310;O0033867;12.06.2025;1;Customer Changed Mind
R000311;O0024070;12.03.2025;1;Customer Changed Mind
R000312;O0005270;07.02.2026;3;Other
R000313;O0017639;01.12.2025;1;Customer Changed Mind
R000314;O0020844;30.07.2025;3;Late Delivery
R000315;O0041665;03.01.2026;3;Customer Changed Mind
R000316;O0027314;19.03.2026;1;Damaged
R000317;O0057845;30.05.2026;3;Wrong Item
R000318;O0045691;19.12.2025;2;Wrong Item
R000319;O0053237;07.09.2025;2;Customer Changed Mind
R000320;O0011638;27.06.2026;1;Customer Changed Mind
R000321;O0007381;13.10.2025;3;Customer Changed Mind
R000322;O0008596;14.05.2026;2;Wrong Item
R000323;O0006928;03.05.2026;1;Customer Changed Mind
R000324;O0003667;01.07.2025;3;Customer Changed Mind
R000325;O0032043;22.06.2025;3;Other
R000326;O0044878;15.10.2025;3;Damaged
R000327;O0042504;11.11.2025;2;Customer Changed Mind
R000328;O0017386;14.02.2026;2;Customer Changed Mind
R000329;O0048869;30.01.2026;3;Damaged
R000330;O0022221;06.05.2026;1;Customer Changed Mind
R000331;O0006915;22.12.2025;2;Customer Changed Mind
R000332;O0025577;18.04.2026;2;Damaged
R000333;O0033944;12.06.2025;1;Wrong Item
R000334;O0022179;14.08.2025;2;Wrong Item
R000335;O0005135;14.05.2025;2;Late Delivery
R000336;O0006947;16.04.2026;3;Damaged
R000337;O0000769;19.07.2025;1;Late Delivery
R000338;O0002278;23.05.2025;2;Damaged
R000339;O0030138;16.11.2025;1;Customer Changed Mind
R000340;O0027263;17.09.2025;2;Customer Changed Mind
R000341;O0052582;22.04.2025;3;Customer Changed Mind
R000342;O0031231;10.03.2025;1;Damaged
R000343;O0042139;14.07.2026;1;Wrong Item
R000344;O0021564;04.03.2025;2;Customer Changed Mind
R000345;O0003106;18.03.2025;1;Late Delivery
R000346;O0005207;07.07.2025;2;Damaged
R000347;O0050814;23.05.2026;3;Wrong Item
R000348;O0014869;04.06.2025;3;Other
R000349;O0048209;19.02.2026;1;Damaged
R000350;O0054555;15.02.2026;1;Damaged
R000351;O0035947;01.06.2026;1;Customer Changed Mind
R000352;O0049900;11.03.2026;2;Wrong Item
R000353;O0039285;16.02.2025;2;Customer Changed Mind
R000354;O0012323;06.07.2026;3;Damaged
R000355;O0036112;30.10.2025;1;Customer Changed Mind
R000356;O0043449;19.03.2026;1;Wrong Item
R000357;O0022257;17.07.2025;3;Customer Changed Mind
R000358;O0014262;12.06.2025;3;Late Delivery
R000359;O0004274;19.07.2025;3;Damaged
R000360;O0035520;26.05.2026;1;Damaged
R000361;O0012322;03.01.2026;2;Other
R000362;O0045586;12.12.2025;3;Damaged
R000363;O0026220;27.06.2026;3;Customer Changed Mind
R000364;O0038104;01.08.2025;2;Wrong Item
R000365;O0005651;29.04.2026;2;Late Delivery
R000366;O0030381;22.01.2026;1;Customer Changed Mind
R000367;O0048875;14.02.2025;2;Other
R000368;O0001829;15.12.2025;3;Late Delivery
R000369;O0033638;16.05.2025;3;Late Delivery
R000370;O0005388;08.07.2025;2;Customer Changed Mind
R000371;O0035214;30.05.2026;1;Customer Changed Mind
R000372;O0000320;11.12.2025;3;Customer Changed Mind
R000373;O0002587;03.02.2025;2;Damaged
R000374;O0057906;23.03.2025;2;Customer Changed Mind
R000375;O0019258;16.02.2026;1;Customer Changed Mind
R000376;O0024684;07.08.2025;2;Late Delivery
R000377;O0010438;17.12.2025;2;Damaged
R000378;O0041923;05.03.2026;3;Damaged
R000379;O0034243;11.09.2025;1;Other
R000380;O0052560;08.08.2025;3;Damaged
R000381;O0009473;03.06.2026;2;Wrong Item
R000382;O0037665;28.05.2026;1;Damaged
R000383;O0023052;30.04.2025;2;Late Delivery
R000384;O0051123;24.06.2026;1;Customer Changed Mind
R000385;O0014828;13.09.2025;3;Other
R000386;O0009082;22.07.2025;3;Customer Changed Mind
R000387;O0013048;27.08.2025;1;Other
R000388;O0005059;25.09.2025;2;Wrong Item
R000389;O0012478;16.02.2026;2;Customer Changed Mind
R000390;O0039189;15.05.2025;3;Other
R000391;O0037381;14.06.2026;2;Customer Changed Mind
R000392;O0058986;15.03.2025;2;Damaged
R000393;O0007717;21.04.2025;1;Damaged
R000394;O0028647;06.08.2025;1;Customer Changed Mind
R000395;O0018707;19.12.2025;2;Customer Changed Mind
R000396;O0059368;07.03.2026;1;Customer Changed Mind
R000397;O0019329;30.04.2026;1;Other
R000398;O0035583;06.03.2026;1;Wrong Item
R000399;O0056449;10.06.2026;2;Wrong Item
R000400;O0031010;24.01.2026;1;Other
R000401;O0041926;14.09.2025;2;Customer Changed Mind
R000402;O0051868;22.02.2026;3;Damaged
R000403;O0055498;13.02.2026;3;Customer Changed Mind
R000404;O0004218;31.05.2026;2;Other
R000405;O0023672;24.05.2026;3;Customer Changed Mind
R000406;O0048453;16.12.2025;1;Customer Changed Mind
R000407;O0003061;22.05.2026;1;Wrong Item
R000408;O0013974;19.12.2025;2;Customer Changed Mind
R000409;O0043684;11.02.2025;3;Wrong Item
R000410;O0022285;27.01.2026;1;Late Delivery
R000411;O0046318;08.07.2025;3;Customer Changed Mind
R000412;O0036052;06.07.2025;2;Customer Changed Mind
R000413;O0044961;16.11.2025;2;Customer Changed Mind
R000414;O0004809;24.05.2025;2;Wrong Item
R000415;O0055397;01.07.2025;3;Wrong Item
R000416;O0040488;27.06.2026;1;Damaged
R000417;O0050092;11.06.2026;3;Other
R000418;O0038257;03.05.2026;1;Other
R000419;O0004330;18.03.2026;1;Other
R000420;O0021675;02.03.2026;2;Wrong Item
R000421;O0018427;29.05.2026;1;Late Delivery
R000422;O0026645;02.09.2025;1;Customer Changed Mind
R000423;O0016940;31.03.2025;3;Other
R000424;O0005729;04.08.2025;3;Wrong Item
R000425;O0059886;31.05.2026;2;Other
R000426;O0000773;05.02.2025;3;Damaged
R000427;O0058498;08.11.2025;1;Wrong Item
R000428;O0016683;22.06.2026;-1;Customer Changed Mind
R000429;O0027421;27.11.2025;3;Customer Changed Mind
R000430;O0030224;06.04.2026;1;Damaged
R000431;O0011248;13.11.2025;2;Wrong Item
R000432;O0022321;01.02.2026;2;Other
R000433;O0022299;01.05.2026;3;Late Delivery
R000434;O0038141;26.03.2026;3;Wrong Item
R000435;O0032488;25.06.2025;3;Other
R000436;O0006460;23.09.2025;2;Damaged
R000437;O0023846;13.08.2025;1;Damaged
R000438;O0029684;17.04.2026;2;Customer Changed Mind
R000439;O0021084;10.09.2025;2;Damaged
R000440;O0003245;13.04.2025;3;Customer Changed Mind
R000441;O0002023;02.11.2025;2;Other
R000442;O0018644;14.03.2026;1;Wrong Item
R000443;O0047117;24.05.2025;3;Customer Changed Mind
R000444;O0050712;03.01.2026;3;Damaged
R000445;O0034468;07.03.2026;1;Wrong Item
R000446;O0035471;05.12.2025;3;Customer Changed Mind
R000447;O0058379;01.02.2025;2;Customer Changed Mind
R000448;O0002231;08.06.2025;3;Customer Changed Mind
R000449;O0024918;26.11.2025;1;Customer Changed Mind
R000450;O9999999;21.03.2026;2;Other
R000451;O0029293;22.03.2026;2;Other
R000452;O0007993;07.04.2026;1;Damaged
R000453;O0022904;17.06.2025;2;Customer Changed Mind
R000454;O0002056;20.05.2025;1;Customer Changed Mind
R000455;O0007022;11.10.2025;2;Damaged
R000456;O0028707;23.11.2025;2;Customer Changed Mind
R000457;O0026880;02.08.2025;3;Other
R000458;O0039852;25.03.2025;3;Customer Changed Mind
R000459;O0016003;29.08.2025;2;Damaged
R000460;O0014360;03.10.2025;2;Late Delivery
R000461;O0030116;20.09.2025;3;Other
R000462;O0045467;24.05.2026;1;Customer Changed Mind
R000463;O0021017;09.11.2025;3;Damaged
R000464;O0012619;14.04.2026;3;Damaged
R000465;O0033498;07.05.2025;1;Customer Changed Mind
R000466;O0024589;16.12.2025;2;Wrong Item
R000467;O0032849;28.12.2025;1;Other
R000468;O0006500;01.07.2025;3;Other
R000469;O0047430;05.06.2026;2;Other
R000470;O0033459;20.04.2025;2;Damaged
R000471;O0054487;07.07.2025;3;Customer Changed Mind
R000472;O0041010;10.03.2025;3;Late Delivery
R000473;O0007304;12.06.2026;1;Customer Changed Mind
R000474;O0050795;10.05.2026;3;Customer Changed Mind
R000475;O0058574;08.01.2026;2;Other
R000476;O0037331;11.04.2026;2;Customer Changed Mind
R000477;O0023216;27.06.2026;2;Late Delivery
R000478;O0026203;16.10.2025;2;Damaged
R000479;O0020302;24.06.2025;1;Customer Changed Mind
R000480;O0006517;12.11.2025;2;Late Delivery
R000481;O0054215;27.06.2025;1;Damaged
R000482;O0055043;22.11.2025;2;Wrong Item
R000483;O0056317;26.04.2026;1;Wrong Item
R000484;O0041744;19.12.2025;2;Customer Changed Mind
R000485;O0016626;16.07.2025;-1;Customer Changed Mind
R000486;O0052729;05.07.2025;1;Late Delivery
R000487;O0016159;18.06.2025;1;Damaged
R000488;O0025293;14.02.2026;3;Wrong Item
R000489;O0033778;01.01.2026;3;Damaged
R000490;O0034080;06.12.2025;2;Damaged
R000491;O0004657;14.03.2025;1;Damaged
R000492;O0056367;24.08.2025;3;Other
R000493;O0012728;11.10.2025;2;Other
R000494;O0019210;09.06.2026;2;Customer Changed Mind
R000495;O0007458;27.05.2025;2;Other
R000496;O0052274;23.03.2025;1;Late Delivery
R000497;O0056674;02.07.2025;1;Other
R000498;O0040057;24.08.2025;1;Other
R000499;O0042846;02.05.2025;2;Late Delivery
R000500;O0059827;19.06.2025;3;Customer Changed Mind
R000501;O0047945;24.12.2025;3;Wrong Item
R000502;O0041833;14.12.2025;1;Late Delivery
R000503;O0024562;23.12.2025;1;Other
R000504;O0055430;21.10.2025;1;Wrong Item
R000505;O0047094;13.05.2026;1;Customer Changed Mind
R000506;O0015964;23.06.2025;2;Damaged
R000507;O0047325;17.10.2025;3;Other
R000508;O0001533;24.11.2025;1;Other
R000509;O0001061;08.08.2025;1;Damaged
R000510;O0027552;14.10.2025;1;Wrong Item
R000511;O0028514;18.04.2026;3;Customer Changed Mind
R000512;O0043316;01.02.2026;3;Late Delivery
R000513;O0009363;07.07.2026;1;Customer Changed Mind
R000514;O0022834;26.02.2026;1;Customer Changed Mind
R000515;O0050238;27.07.2025;2;Customer Changed Mind
R000516;O0002400;22.03.2025;3;Wrong Item
R000517;O0007450;10.04.2026;1;Wrong Item
R000518;O0041162;10.05.2026;2;Customer Changed Mind
R000519;O0046263;22.04.2025;2;Damaged
R000520;O0030838;10.05.2025;1;Wrong Item
R000521;O0030257;21.03.2026;1;Late Delivery
R000522;O0025448;05.03.2026;3;Damaged
R000523;O0058920;18.06.2025;2;Other
R000524;O0015067;04.02.2026;3;Customer Changed Mind
R000525;O0026644;27.09.2025;1;Damaged
R000526;O0044763;21.05.2026;1;Late Delivery
R000527;O0025447;29.08.2025;3;Damaged
R000528;O0030514;09.02.2026;2;Customer Changed Mind
R000529;O0053313;07.08.2025;1;Other
R000530;O9999999;14.09.2025;3;Wrong Item
R000531;O0007259;28.12.2025;1;Customer Changed Mind
R000532;O0004086;24.09.2025;1;Other
R000533;O0042145;14.04.2026;2;Late Delivery
R000534;O0047501;22.08.2025;3;Customer Changed Mind
R000535;O0051786;10.06.2026;1;Customer Changed Mind
R000536;O0042701;18.12.2025;1;Damaged
R000537;O0008576;05.11.2025;2;Damaged
R000538;O0020387;24.09.2025;3;Wrong Item
R000539;O0027628;25.03.2025;2;Late Delivery
R000540;O0054085;25.05.2026;3;Other
R000541;O0021592;20.04.2026;3;Customer Changed Mind
R000542;O0010423;25.04.2025;2;Other
R000543;O0015823;13.02.2025;1;Damaged
R000544;O0011098;27.04.2026;2;Customer Changed Mind
R000545;O0040015;13.03.2026;2;Damaged
R000546;O0041433;12.11.2025;2;Damaged
R000547;O0022921;29.07.2025;2;Customer Changed Mind
R000548;O0022255;06.03.2025;2;Damaged
R000549;O0009073;01.04.2026;2;Wrong Item
R000550;O0027960;06.03.2025;2;Other
R000551;O0006572;26.09.2025;2;Damaged
R000552;O0047103;21.11.2025;1;Wrong Item
R000553;O0040538;17.03.2026;2;Damaged
R000554;O0033267;18.07.2025;1;Damaged
R000555;O0042268;10.11.2025;3;Damaged
R000556;O0017472;27.06.2026;1;Wrong Item
R000557;O0050562;01.03.2025;2;Wrong Item
