Product_ID;Product_Name;Category;Cost;List_Price
P0119;Product 0119;Home;143.01;230.0
P0120;Product 0120;Electronics;30.27;55.22
P0121;Product 0121;Beauty;71.2;112.0
P0122;Product 0122;Accessories;213.7;471.34
P0123;Product 0123;Sports;68.79;120.6
P0124;Product 0124;Beauty;711.42;1501.65
P0125;Product 0125;Office;818.45;1812.88
P0126;Product 0126;Sports;475.39;846.66
P0127;Product 0127;Electronics;385.0;880.47
P0128;Product 0128;Accessories;607.91;1145.24
P0129;Product 0129;Sports;1050.63;2324.88
P0130;Product 0130;Sports;1022.1;1610.56
P0131;Product 0131;Sports;56.95;101.0
P0132;Product 0132;Sports;221.89;402.57
P0133;Product 0133;Electronics;287.91;368.88
P0134;Product 0134;Sports;303.02;499.43
P0135;Product 0135;Accessories;687.62;1579.24
P0136;Product 0136;Home;502.43;973.98
P0137;Product 0137;Sports;63.86;87.61
P0138;Product 0138;Electronics;451.47;710.42
P0139;Product 0139;Beauty;630.88;876.61
P0140;Product 0140;Beauty;126.5;149.4
P0141;Product 0141;Office;1000.98;2311.59
P0142;Product 0142;Home;67.09;114.74
P0143;Product 0143;Home;1110.19;1703.5
P0144;Product 0144;Beauty;123.44;234.3
P0145;Product 0145;Office;1013.07;1174.29
P0146;Product 0146;Office;1083.67;1622.83
P0147;Product 0147;Electronics;1175.59;2385.03
P0148;Product 0148;Home;963.42;1871.17
P0149;Product 0149;Accessories;936.48;2226.25
P0150;Product 0150;Electronics;772.77;1487.93
P0151;Product 0151;Office;935.9;1634.91
P0152;Product 0152;Home;165.79;348.46
P0153;Product 0153;Office;645.6;1471.43
P0154;Product 0154;Home;619.5;1270.51
P0155;Product 0155;Beauty;1029.8;2424.16
P0156;Product 0156;Sports;558.05;1187.25
P0157;Product 0157;Electronics;465.18;1038.98
P0158;Product 0158;Sports;769.28;994.39
P0159;Product 0159;Sports;323.42;668.03
P0160;Product 0160;Accessories;172.02;292.45
P0161;Product 0161;Office;576.06;1060.75
P0162;Product 0162;Sports;503.18;990.07
P0163;Product 0163;Beauty;282.92;668.33
P0164;Product 0164;Beauty;444.18;1057.47
P0165;Product 0165;Beauty;442.84;668.81
P0166;Product 0166;Accessories;396.36;819.35
P0167;Product 0167;Home;458.46;957.03
P0168;Product 0168;Home;824.46;1305.22
P0169;Product 0169;Beauty;359.77;469.44
P0170;Product 0170;Electronics;1138.89;1368.02
P0171;Product 0171;Electronics;1100.04;2333.93
P0172;Product 0172;Electronics;579.69;1021.49
P0173;Product 0173;Accessories;397.39;946.55
P0174;Product 0174;Accessories;644.84;1116.36
P0175;Product 0175;Accessories;1019.03;2417.54
P0176;Product 0176;Beauty;784.84;1306.34
P0177;Product 0177;Accessories;966.25;2069.81
P0178;Product 0178;Electronics;641.6;805.87
P0179;Product 0179;Office;761.34;1404.16
P0180;Product 0180;Sports;349.35;752.0
P0181;Product 0181;Office;883.2;2036.55
P0182;Product 0182;Electronics;246.87;537.74
P0183;Product 0183;Beauty;835.28;999.17
P0184;Product 0184;Accessories;1033.56;1670.11
P0185;Product 0185;Beauty;162.86;197.2
P0186;Product 0186;Beauty;739.18;951.03
P0187;Product 0187;Electronics;118.64;236.58
P0188;Product 0188;Beauty;872.23;1780.72
P0189;Product 0189;Home;105.97;224.35
P0190;Product 0190;Home;1123.45;2507.34
P0191;Product 0191;Accessories;169.2;350.97
P0192;Product 0192;Sports;1150.86;2475.6
P0193;Product 0193;Sports;962.06;1165.25
P0194;Product 0194;Beauty;714.45;1031.07
P0195;Product 0195;Office;940.24;1812.19
P0196;Product 0196;Electronics;955.16;2122.99
P0197;Product 0197;Beauty;1135.5;1312.21
P0198;Product 0198;Electronics;307.79;551.96
P0199;Product 0199;Beauty;710.14;1417.87
P0200;Product 0200;Office;118.58;140.76
P0201;Product 0201;Beauty;741.32;1224.43
P0202;Product 0202;Office;209.69;475.9
P0203;Product 0203;Beauty;680.12;1353.11
P0204;Product 0204;Accessories;689.05;997.11
P0205;Product 0205;Beauty;561.85;1245.05
P0206;Product 0206;Home;629.54;997.85
P0207;Product 0207;Accessories;917.89;2034.67
P0208;Product 0208;Office;960.1;1462.88
P0209;Product 0209;Home;593.12;1119.75
P0210;Product 0210;Accessories;721.51;1187.73
P0211;Product 0211;Home;1117.83;1669.51
P0212;Product 0212;Accessories;148.08;334.39
P0213;Product 0213;Accessories;144.94;200.67
P0214;Product 0214;Beauty;109.81;137.92
P0215;Product 0215;Accessories;791.15;1247.97
P0216;Product 0216;Home;505.24;1034.25
P0217;Product 0217;Electronics;930.31;2008.81
P0218;Product 0218;Electronics;807.12;1935.82
P0219;Product 0219;Beauty;403.7;613.81
P0220;Product 0220;Office;1078.55;1790.31
P0221;Product 0221;Electronics;916.23;1210.36
P0222;Product 0222;Beauty;328.29;613.44
P0223;Product 0223;Accessories;440.21;1055.17
P0224;Product 0224;Home;380.76;771.46
P0225;Product 0225;Accessories;193.35;366.21
P0226;Product 0226;Home;181.6;297.91
P0227;Product 0227;Accessories;1123.67;2577.84
P0228;Product 0228;Sports;528.3;935.7
P0229;Product 0229;Sports;463.07;610.31
P0230;Product 0230;Home;876.97;1409.05
P0231;Product 0231;Beauty;665.83;821.61
P0232;Product 0232;Office;1123.69;1575.95
P0233;Product 0233;Electronics;937.46;1098.78
P0234;Product 0234;Accessories;577.85;991.94
P0235;Product 0235;Beauty;454.75;883.66
P0236;Product 0236;Accessories;1184.02;1869.7
P0237;Product 0237;Sports;862.72;1445.47
P0238;Product 0238;Beauty;1141.68;2681.82
P0239;Product 0239;Home;146.58;306.35
P0240;Product 0240;Sports;1021.39;1865.13
P0241;Product 0241;Electronics;766.3;1153.8
P0242;Product 0242;Sports;150.7;342.28
P0243;Product 0243;Electronics;707.97;1022.22
P0244;Product 0244;Sports;824.89;1284.09
P0245;Product 0245;Sports;19.Jul;45.04
P0246;Product 0246;Electronics;547.91;992.77
P0247;Product 0247;Accessories;991.35;2059.92
P0248;Product 0248;Beauty;357.95;675.96
P0249;Product 0249;Accessories;552.96;1087.56
P0250;Product 0250;Electronics;533.57;813.28
P0251;Product 0251;Home;365.8;531.04
P0252;Product 0252;Beauty;1102.54;1712.37
P0253;Product 0253;Home;938.65;1261.83
P0254;Product 0254;Home;137.15;307.61
P0255;Product 0255;Sports;1196.46;1799.55
P0256;Product 0256;Electronics;1055.64;1954.9
P0257;Product 0257;Accessories;344.27;736.73
P0258;Product 0258;Electronics;1005.09;2140.62
P0259;Product 0259;Home;132.17;224.42
P0260;Product 0260;Sports;1198.93;2092.52
P0261;Product 0261;Accessories;800.49;1915.87
P0262;Product 0262;Home;781.9;1558.52
P0263;Product 0263;Home;113.08;245.19
P0264;Product 0264;Office;1076.95;2453.5
P0265;Product 0265;Office;39.65;84.63
P0266;Product 0266;Sports;292.79;404.48
P0267;Product 0267;Beauty;175.91;325.91
P0268;Product 0268;Beauty;933.24;1192.09
P0269;Product 0269;Sports;241.85;475.51
P0270;Product 0270;Sports;1093.21;2562.69
P0271;Product 0271;Home;789.24;1413.46
P0272;Product 0272;Electronics;48.21;81.53
P0273;Product 0273;Electronics;Nov.49;13.73
P0274;Product 0274;Office;66.73;156.8
P0275;Product 0275;Beauty;729.08;932.31
P0276;Product 0276;Beauty;962.77;1156.62
P0277;Product 0277;Beauty;290.07;422.8
P0278;Product 0278;Accessories;1020.04;1256.6
P0279;Product 0279;Electronics;73.39;126.15
P0280;Product 0280;Electronics;962.15;1727.16
P0281;Product 0281;Home;1113.72;1715.92
P0282;Product 0282;Beauty;927.67;1125.91
P0283;Product 0283;Accessories;839.25;1082.21
P0284;Product 0284;Beauty;1006.39;1641.05
P0285;Product 0285;Beauty;52.98;64.94
P0286;Product 0286;Office;246.13;497.86
P0287;Product 0287;Electronics;154.28;217.35
P0288;Product 0288;Sports;607.91;928.64
P0289;Product 0289;Sports;895.5;1471.0
P0290;Product 0290;Beauty;757.86;1266.2
P0291;Product 0291;Accessories;1022.1;1177.54
P0292;Product 0292;Home;190.48;245.74
P0293;Product 0293;Office;882.87;1967.44
P0294;Product 0294;Home;235.68;271.4
P0295;Product 0295;Sports;328.56;586.55
P0296;Product 0296;Sports;853.34;1503.48
P0297;Product 0297;Office;1176.34;1842.58
P0298;Product 0298;Beauty;735.79;1242.87
P0299;Product 0299;Home;70.13;149.08
P0300;Product 0300;Electronics;741.49;1632.39
